merged_index,smiles,original_index,source_dataset
0,Brc1ccc2c(c1)-c1[nH]ncc1C2,1,unique_smiles_CHEMBL_no_shared
1,Brc1ccc2cnc(Nc3ccncn3)cc2c1,2,unique_smiles_CHEMBL_no_shared
2,Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,3,unique_smiles_CHEMBL_no_shared
3,Brc1cncc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1,4,unique_smiles_CHEMBL_no_shared
4,C#C[C@@H]1CC1n1cc(Nc2ncc(Br)c(NCC)n2)c(C2CC2)n1,5,unique_smiles_CHEMBL_no_shared
5,C#Cc1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(-c3ccoc3)c2c1,6,unique_smiles_CHEMBL_no_shared
6,C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,7,unique_smiles_CHEMBL_no_shared
7,C#Cc1cn(C2CCCC2)c2ncnc(N)c12,8,unique_smiles_CHEMBL_no_shared
8,C#Cc1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,9,unique_smiles_CHEMBL_no_shared
9,C(#Cc1n[nH]c2ccccc12)c1ccncc1,10,unique_smiles_CHEMBL_no_shared
10,C(=C/c1ccccc1)\C[N+]12CN3CN(CN(C3)C1)C2.[Cl-],11,unique_smiles_CHEMBL_no_shared
11,C(=Cc1ccc2nccn2n1)c1ccccc1,12,unique_smiles_CHEMBL_no_shared
12,C/C(=N\Nc1ccc2ccccc2n1)c1ccccc1O,13,unique_smiles_CHEMBL_no_shared
13,C/C(Nc1ccc(S(N)(=O)=O)cc1)=C1/C(=O)Nc2ccccc21,14,unique_smiles_CHEMBL_no_shared
14,C/C=C/c1n[nH]c2ccc(NC(=O)c3nc(Cl)c(C#N)c(C)c3C)cc12,15,unique_smiles_CHEMBL_no_shared
15,C/C=C/c1n[nH]c2ccc(NC(=O)c3ncc(C#N)c(C)c3C)cc12,16,unique_smiles_CHEMBL_no_shared
16,C1=C(c2c[nH]c3ncnc(N4CCOCC4)c23)CCCO1,17,unique_smiles_CHEMBL_no_shared
17,C1=C(c2c[nH]c3ncnc(N4CCOCC4)c23)COCC1,18,unique_smiles_CHEMBL_no_shared
18,C1=C(c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)CCNC1,19,unique_smiles_CHEMBL_no_shared
19,C=C(C)c1c(C#N)cccc1C(=O)Nc1ccc2[nH]nc(-c3cnco3)c2c1,20,unique_smiles_CHEMBL_no_shared
20,C=C(C)c1c(C#N)cccc1C(=O)Nc1ccc2[nH]nc(C)c2c1,21,unique_smiles_CHEMBL_no_shared
21,C=C(C)c1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(-c3cnco3)c2c1,22,unique_smiles_CHEMBL_no_shared
22,C=C(C)c1cc(C#N)cnc1C(=O)Nc1ccc2[nH]nc(C)c2c1,23,unique_smiles_CHEMBL_no_shared
23,C=C(C)c1ccc2c(NC(C)C)c(C(N)=O)nnc2c1,24,unique_smiles_CHEMBL_no_shared
24,C=C(C)c1ccc2c(N[C@H](C)C3CC3)c(C(=O)NC)nnc2c1,25,unique_smiles_CHEMBL_no_shared
25,C=C(C)c1n[nH]c2ccc(NC(=O)c3ncc(C#N)c(C)c3C)cc12,26,unique_smiles_CHEMBL_no_shared
26,C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(NS(C)(=O)=O)cc5)cc4c32)ccc1C,27,unique_smiles_CHEMBL_no_shared
27,C=CC(=O)Nc1cc(Nc2cc(-c3cccc(NC(=O)c4ccc(C(C)(C)C)cc4)c3C)cn(C)c2=O)ccc1C(=O)N1CCOCC1,28,unique_smiles_CHEMBL_no_shared
28,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N(C)CCN(C)C,29,unique_smiles_CHEMBL_no_shared
29,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,30,unique_smiles_CHEMBL_no_shared
30,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,31,unique_smiles_CHEMBL_no_shared
