smiles,source_dataset
Cn1cnc(C(C)(C)n2cc(Nc3ncc(C(F)(F)F)c(C4CC4)n3)c(CO)n2)n1,unique_smiles_CHEMBL_no_shared
CCCCCCCCCC1(C)OCC(COC(N)=O)O1,unique_smiles_B3DB_no_shared
Cc1cc(C#N)nnc1C(=O)Nc1ccc2[nH]nc(-c3ccoc3)c2c1,unique_smiles_CHEMBL_no_shared
CCC(C)Nc1nc(Nc2cc(N3CC4CC3CN4C)cnc2F)ncc1C,unique_smiles_CHEMBL_no_shared
CC1=C(C(=O)Nc2ccc3[nH]nc(C(N)=O)c3c2)Cn2nnnc2N1C,unique_smiles_CHEMBL_no_shared
CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,unique_smiles_B3DB_no_shared
CN1CCC23NC(=O)CC(c4cc(Cl)ccc4O2)C3C1,unique_smiles_B3DB_no_shared
COC12C=CC3(CC1C(C)(C)O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,unique_smiles_B3DB_no_shared
CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2CC(F)(F)F,unique_smiles_CHEMBL_no_shared
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,unique_smiles_B3DB_no_shared
CCOc1ccc2[nH]nc(-c3cc(N4CCN(CC)C(=O)C4)ncn3)c2c1,unique_smiles_CHEMBL_no_shared
Fc1cccc(Br)c1NC1=NCCN1,unique_smiles_B3DB_no_shared
CN1CCc2nc(C(=O)NC3CC(C(=O)N(C)C)CCC3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,unique_smiles_B3DB_no_shared
CC(C)Oc1ccc2[nH]nc(-c3cc(N4CCCCC4)ncn3)c2c1,unique_smiles_CHEMBL_no_shared
CNc1nc(Nc2cn(C(C)(C)CC#N)nc2C)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
CC(c1cc2ccccc2s1)N(O)C(N)=O,unique_smiles_B3DB_no_shared
CC1(C)SC2C(NC(=O)C34CC5CC(CC(N)(C5)C3)C4)C(=O)N2C1C(=O)O,unique_smiles_B3DB_no_shared
Cn1cc(Nc2ncc(F)c(OCC3CCC(O)CC3)n2)cn1,unique_smiles_CHEMBL_no_shared
CCCC(=O)OCC(=O)C1(OC(=O)CCC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC21C,unique_smiles_B3DB_no_shared
Cn1ccc(Nc2cc(-c3ccccc3)c3c(C#N)c[nH]c3n2)n1,unique_smiles_CHEMBL_no_shared
COc1ccc(C2C(C(N)=S)C2S(=O)(=O)c2ccccc2)cc1,unique_smiles_B3DB_no_shared
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,unique_smiles_B3DB_no_shared
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,unique_smiles_B3DB_no_shared
COC1CCCN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)C1,unique_smiles_CHEMBL_no_shared
CCNC(=O)C(C)(C)n1cc(Nc2ncc(C(F)(F)F)c(NC)n2)c(C)n1,unique_smiles_CHEMBL_no_shared
Cn1cc(-c2ccc3[nH]nc(-c4cc(N5CCN(C6CC6)CC5)ncn4)c3c2)cn1,unique_smiles_CHEMBL_no_shared
CCC(C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,unique_smiles_CHEMBL_no_shared
O=C1CN2CCOC2(c2ccccc2F)c2cc(Cl)ccc2N1CCO,unique_smiles_B3DB_no_shared
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1,unique_smiles_B3DB_no_shared
CC(C)CC(=O)c1ccc(OCCCCOc2ccc3ccc(=O)oc3c2)cc1O,unique_smiles_B3DB_no_shared
NC1CCC(COc2ccnc(Nc3cccc(N4CCOCC4)c3)n2)CC1,unique_smiles_CHEMBL_no_shared
NC(=O)CN1C(=O)C(c2ccccc2)c2ccccc21,unique_smiles_B3DB_no_shared
N#Cc1ccc2c(c1)CCCC2Nc1ccc2[nH]nc(-c3cnco3)c2c1,unique_smiles_CHEMBL_no_shared
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSC(=O)c3ccco3)CSC12)c1csc(N)n1,unique_smiles_B3DB_no_shared
COc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccc(Cl)c(C(F)(F)F)c3)n2)cc1,unique_smiles_CHEMBL_no_shared
CCCNC(=O)c1ccc2c(c1)N(C(C)CN1CCCC1)c1ccccc1S2,unique_smiles_B3DB_no_shared
Cc1nn(C(C)(C)C#N)cc1Nc1ncc(Cl)c(OCC2CCC(NC3CC(F)(F)C3)CC2)n1,unique_smiles_CHEMBL_no_shared
COC1CN(CC2Cc3ccc(C#N)cc3C2)CCC1n1c(C(C)(C)O)nc2cc(C)ccc21,unique_smiles_B3DB_no_shared
CCCS(=O)(=O)Nc1cccc(Nc2ncnc3cc(OC)c(OC)cc23)c1,unique_smiles_CHEMBL_no_shared
Cc1nn(C(C)(C)C#N)cc1Nc1ncc(F)c(OCC2CCNCC2F)n1,unique_smiles_CHEMBL_no_shared
COCC(C)Oc1ccc2[nH]nc(-c3cc(N4CC5CCC(C4)O5)ncn3)c2c1,unique_smiles_CHEMBL_no_shared
CC(C)(C)NCC(O)c1ccccc1F,unique_smiles_B3DB_no_shared
CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,unique_smiles_B3DB_no_shared
COc1ccccc1N1CCN(CCCC(O)c2ccc(F)cc2)CC1,unique_smiles_B3DB_no_shared
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(ccc(N)c4O)CC3CC12,unique_smiles_B3DB_no_shared
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,unique_smiles_B3DB_no_shared
COc1ccc(OC)c(Sc2ccc3nnc(C4CC4)n3n2)c1,unique_smiles_CHEMBL_no_shared
Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1,unique_smiles_CHEMBL_no_shared
Cc1c(Nc2ncc(Cl)c(OCC3CC(F)(F)C3)n2)cnn1C1CC(C#N)C1,unique_smiles_CHEMBL_no_shared
COC1CCCC2C1=C(C=O)N1C(=O)C(C(C)O)C21,unique_smiles_B3DB_no_shared
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,unique_smiles_B3DB_no_shared
COc1ccc2c(c1)N(CC(C)CN1CCC(O)CC1)c1ccccc1S2,unique_smiles_B3DB_no_shared
Cc1nn(C2CC(C#N)C2)cc1Nc1ncc(Cl)c(OCC2CC(F)(F)C2)n1,unique_smiles_CHEMBL_no_shared
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(COC(C)=O)CSC12)c1csc(N)n1,unique_smiles_B3DB_no_shared
Cc1nn(C(C)(C)C#N)cc1Nc1ncc(C(F)(F)F)c(C2CC2F)n1,unique_smiles_CHEMBL_no_shared
C=CCN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,unique_smiles_B3DB_no_shared
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,unique_smiles_B3DB_no_shared
CNc1nc(Nc2cn(CCOC)nc2C)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,unique_smiles_B3DB_no_shared
COc1nc(Nc2cnn(C3CC(n4nccn4)C3)c2C)ncc1Cl,unique_smiles_CHEMBL_no_shared
CNc1nc(Nc2ccc(C(=O)N3CCN(C(=O)C4CC4)CC3)cc2OC)ncc1Cl,unique_smiles_CHEMBL_no_shared
COC(=O)N1CCN(c2cc(-c3n[nH]c4ccc(OC5(C)CC5)cc34)ncn2)CC1,unique_smiles_CHEMBL_no_shared
C=CCOc1ccccc1OCC(O)CNC(C)C,unique_smiles_B3DB_no_shared
NC(=O)Cc1ccccc1Oc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1,unique_smiles_CHEMBL_no_shared
CC1OC2(CCCCC2Oc2cccc(Cl)c2)NC1=O,unique_smiles_B3DB_no_shared
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,unique_smiles_B3DB_no_shared
N#Cc1cccc(C(=O)Nc2ccc3[nH]nc(-c4ccoc4)c3c2)c1Cl,unique_smiles_CHEMBL_no_shared
Cc1nn(C(CF)CF)cc1Nc1nc(C2CC2)c2c(C#N)c[nH]c2n1,unique_smiles_CHEMBL_no_shared
COC(=O)CC(c1ccc(C(C)C)cc1)c1oc(CN2CC3CC(C2)c2cccc(=O)n2C3)cc(=O)c1O,unique_smiles_B3DB_no_shared
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,unique_smiles_B3DB_no_shared
CCCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC21C,unique_smiles_B3DB_no_shared
c1cc(-c2n[nH]c3ccc(OC4CC4)cc23)cc(N2CCOCC2)n1,unique_smiles_CHEMBL_no_shared
O=C(Nc1ccc(-c2ccc(=O)[nH]n2)cc1)Nc1cccc(C(F)(F)F)c1,unique_smiles_CHEMBL_no_shared
COc1cc2c(cc1OC)CN(C(=O)CC1NC(=O)N(c3ccc(C(C)C)cc3)C1=O)CC2,unique_smiles_B3DB_no_shared
C#Cc1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,unique_smiles_CHEMBL_no_shared
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,unique_smiles_B3DB_no_shared
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,unique_smiles_B3DB_no_shared
N#Cc1cccc(-c2c[nH]c3ncnc(N4CCCC(C(N)=O)C4)c23)c1,unique_smiles_CHEMBL_no_shared
Cc1cccc(-c2cc(Nc3nn(C)cc3C)nc3[nH]cc(C#N)c23)n1,unique_smiles_CHEMBL_no_shared
CCCOC(=O)c1cncn1C(C)c1ccccc1,unique_smiles_B3DB_no_shared
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(Cl)CC2(C)C1(O)C(=O)CO,unique_smiles_B3DB_no_shared
CNc1nc(Nc2cc(OC)c(-c3cnnn3C)cc2Cl)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
COCCc1noc(C(C)NC(=O)c2ccncc2O)n1,unique_smiles_B3DB_no_shared
Cc1ccc(SC(C)C(=O)NCCCc2ccc(OC(C)C)cc2)cc1,unique_smiles_B3DB_no_shared
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,unique_smiles_B3DB_no_shared
NCCCC(N)(C(=O)O)C(F)F,unique_smiles_B3DB_no_shared
CC(Cc1ccccc1)NC(C#N)c1ccccc1,unique_smiles_B3DB_no_shared
COCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1,unique_smiles_B3DB_no_shared
CN(C)c1cnccn1,unique_smiles_B3DB_no_shared
COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(Nc2cccc(F)c2C(=O)O)c2cc[nH]c2n1,unique_smiles_CHEMBL_no_shared
CCNc1nc(Nc2cc(C(C)(C)n3nccn3)nn2C)ncc1Br,unique_smiles_CHEMBL_no_shared
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C,unique_smiles_B3DB_no_shared
Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,unique_smiles_CHEMBL_no_shared
CC1=NC2Cc3ccccc3N=C(N3CCN(C)CC3)N2N1,unique_smiles_B3DB_no_shared
CCc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,unique_smiles_B3DB_no_shared
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(CCF)c3c2F)CC1,unique_smiles_B3DB_no_shared
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(OP(=O)(O)O)C(O)C2O)N(C)C1,unique_smiles_B3DB_no_shared
OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,unique_smiles_B3DB_no_shared
COC1CCCC2C1=C(C=O)N1C(=O)C(C(C)O)C21,unique_smiles_B3DB_no_shared
O=C(Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1)c1ccccc1,unique_smiles_CHEMBL_no_shared
O=C(Cc1ccc(-c2cccnc2)cc1)Nc1ccc(SC(F)F)cc1,unique_smiles_CHEMBL_no_shared
Nc1nc(C(=CCC(=O)O)C(=O)NC2C(=O)N3C(C(=O)O)=CCSC23)cs1,unique_smiles_B3DB_no_shared
Cc1nc2c(c(-n3ccc(C(F)(F)F)n3)n1)CCN2c1ccc(Cl)cc1Cl,unique_smiles_B3DB_no_shared
COc1ccc(C(O)CN2CCN(c3cccccc3=O)CC2)cc1OC,unique_smiles_B3DB_no_shared
CC1CCCN1c1c(C#N)c2c(N)ncnc2n1C,unique_smiles_CHEMBL_no_shared
Cc1nn(C(C)(C)C#N)cc1Nc1ncc(Cl)c(OCC2CC3(C2)CN(C)C3)n1,unique_smiles_CHEMBL_no_shared
CNc1nc(Nc2cn(CC3(CC#N)CC3)nc2C)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
COC1(NC(=O)CSCC(N)C(=O)O)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,unique_smiles_B3DB_no_shared
COc1c(C)cc(C=C2C(=O)Nc3ccc(Cl)cc32)cc1C,unique_smiles_CHEMBL_no_shared
COc1cc(-c2ccc3c(c2)NC(=O)c2ccc(-c4ccccc4NS(C)(=O)=O)cc2N3)cc(OC)c1OC,unique_smiles_CHEMBL_no_shared
CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1,unique_smiles_B3DB_no_shared
CC(C)CCC(=O)CC1c2ccccc2C(=O)N1c1ccc2ccc(Cl)nc2n1,unique_smiles_B3DB_no_shared
COCC(=O)N(c1ccccc1F)C1CCN(CCc2ccccc2)CC1,unique_smiles_B3DB_no_shared
CC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,unique_smiles_B3DB_no_shared
COc1ccc2c(C(=S)N(C)CC(=O)O)ccc(C(F)(F)F)c2c1,unique_smiles_B3DB_no_shared
CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1,unique_smiles_B3DB_no_shared
CNC(C[N+](=O)[O-])=NCCSc1ccc(CN(C)C)o1,unique_smiles_B3DB_no_shared
CC(O)C1C(=O)N2C(C(=O)O)=C(F)SC12,unique_smiles_B3DB_no_shared
COCC(C)Oc1ccc2[nH]nc(-c3cc(N4CCOC(C(F)(F)F)C4)ncn3)c2c1,unique_smiles_CHEMBL_no_shared
CNc1nc(Nc2cc(OC)c(C(=O)NC3CC3)cc2Cl)ncc1C(F)(F)F,unique_smiles_CHEMBL_no_shared
C#CC(C)(O)CC,unique_smiles_B3DB_no_shared
N#Cc1ccc2c(c1)OCCC2Nc1ccc2[nH]nc(-c3ccncc3)c2c1,unique_smiles_CHEMBL_no_shared
CNc1nc(C)cc(-n2ncc3ccc(C4(C#N)CC45CC5)cc32)n1,unique_smiles_CHEMBL_no_shared
CC1(C)SC2C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C(=O)N2C1C(=O)O,unique_smiles_B3DB_no_shared
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1,unique_smiles_B3DB_no_shared
Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)CSC=CC#N)C2SC1,unique_smiles_B3DB_no_shared
CC1(C)CC(=O)C=C(c2ccc3[nH]nc(-c4cc(N5CCOCC5)ncn4)c3c2)C1,unique_smiles_CHEMBL_no_shared
CC(=O)NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,unique_smiles_B3DB_no_shared
CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O,unique_smiles_B3DB_no_shared
CC(=O)NC1CCC(COc2nc(Nc3cn(C(C)(C)C#N)nc3C)ncc2C)CC1,unique_smiles_CHEMBL_no_shared
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1C(=O)CO,unique_smiles_B3DB_no_shared
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1O,unique_smiles_B3DB_no_shared
COc1nc(Nc2cn(C3(C)CCOC3=O)nc2C)ncc1Br,unique_smiles_CHEMBL_no_shared
CNCc1ccccc1-c1csc(C(C)Nc2nc(C)nc3cc(OC)c(OC)cc23)c1,unique_smiles_CHEMBL_no_shared
Cc1nn(S(C)(=O)=O)cc1Nc1ncc(C(F)(F)F)c(C2CC2)n1,unique_smiles_CHEMBL_no_shared
