original_index,smiles,bbb_label
1,BrC(Br)Br,0
2,Brc1c(NC2=NCCN2)ccc2nccnc12,0
3,Brc1cc(Br)c(NC2=NCCN2)c(Br)c1,0
4,Brc1cccc(Br)c1NC1=NCCN1,0
5,C,0
6,C#CC(C)(O)CC,0
7,C#CC(O)(/C=C/Cl)CC,0
8,C#CC(O)(C=CCl)CC,0
9,C#CC(OC(N)=O)c1ccccc1,0
10,C#CC1(O)C=CC2C3CCC4=CC(=O)CCC4C3CCC21CC,0
11,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21,0
12,C#CC1(O)CCC2C3C(C)CC4=C(CCC(=O)C4)C3CCC21C,0
13,C#CC1(O)CCC2C3CCC4=C/C(=N\O)CCC4C3CCC21CC,0
14,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21CC,0
15,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,0
16,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0
17,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0
18,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,0
19,C#CC1(O)CCC2C3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)C3CCC21C,0
20,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,0
21,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,0
22,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,0
23,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,0
24,C#CC1(O)CC[C@H]2[C@@H]3[C@H](CCC21C)C1=C(CC(=O)CC1)C[C@@H]3C,0
25,C#CC1(O)CC[C@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CCC21C,0
26,C#CC1(O)CC[C@H]2[C@H]3CCC4=Cc5c(cnn5-c5ccc(F)cc5)CC4(C)[C@H]3CCC21C,0
27,C#CC1(O)CC[C@H]2[C@H]3CCc4cc(O)ccc4[C@H]3CCC21C,0
28,C#CC1(O)CC[C@H]2[C@H]3CCc4cc(OC)ccc4[C@H]3CCC21C,0
29,C#CC1(OC(C)=O)CCC2C3CCC4=C/C(=N\O)CCC4C3CCC21CC,0
30,C#CC1(OC(C)=O)CCC2C3CCC4=CC(OC(C)=O)CCC4C3CCC21C,0
31,C#CC1(OCC(O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,0
32,C#CC1(OC[C@@H](O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,0
33,C#CC1(OC[C@H](O)CN2CCN(c3ccc(F)cc3)CC2)CCCCC1,0
34,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0
35,C#CCC1(OC(N)=O)CCCCC1,0
36,C#CCN(C)C(C)Cc1ccccc1,0
37,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,0
38,C#CCN(C)Cc1ccccc1,0
39,C#CCN(C)[C@@H](C)Cc1ccccc1,0
40,C#CCN(C)[C@H](C)Cc1ccccc1,0
41,C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
42,C#CCNC1CCc2ccccc21,0
43,C#CCN[C@@H]1CCc2ccccc21,0
44,C#CCN[C@H]1CCc2ccccc21,0
45,C#CCO,0
46,C#C[C@@H](OC(N)=O)c1ccccc1,1
47,C#C[C@@](C)(O)CC,0
48,C#C[C@@]1(O)C=C[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC,0
49,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3C=C[C@@]21CC,0
50,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21C,0
51,C#C[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@@]21CC,0
